French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
